drug_name,rule_type
"Ketotifen + Cetirizine","BANNED_FDC"
"Terbutaline + Bromhexine + Etofylline","BANNED_FDC"
"Ketotifen + Theophylline","BANNED_FDC"
"Salbutamol + Theophylline","BANNED_FDC"
"Cetirizine + Nimesulide + Phenylephrine","BANNED_FDC"
"Chloropheniramine + Phenylephrine + Paracetamol + Zinc Gluconate","BANNED_FDC"
"Ambroxol + Acetaminophen + Guaifenesin + Dextromethorphan + Chlorpheniramine","BANNED_FDC"
"Cetirizine + Dextromethorphan + Phenylephrine + Tulsi","BANNED_FDC"
"Cetirizine + Phenylephrine + Paracetamol + Ambroxol + Caffeine + Dextromethorphan","BANNED_FDC"
"Levocetirizine + Paracetamol + Phenylephirine + Caffeine","BANNED_FDC"
"Caffeine + Paracetamol + Phenylephrine + Chlorpheniramine","BANNED_FDC"
"Guaifenesin + Ketotifen + Levocetrizine","BANNED_FDC"
"Paracetamol + Levocetirizine + Phenylephirine + Zinc Gluconate","BANNED_FDC"
"Paracetamol + Phenylephrine + Triprolidine + Caffeine","BANNED_FDC"
"Caffeine + Paracetamol + Phenylephrine + Cetirizine","BANNED_FDC"
"Dextromethorphan + Phenylephirine + Guaifenesin","BANNED_FDC"
"Ambroxol + Levocetirizine + Phenylephrine + Guaiphenesin + Menthol","BANNED_FDC"
"Pseudoephedrine + Cetirizine","BANNED_FDC"
"Dextromethorphan + Chlorpheniramine + Ammonium Chloride + Menthol","BANNED_FDC"
"Paracetamol + Caffeine + Phenylephrine + Chlorpheniramine","BANNED_FDC"
"Salbutamol + Aminophylline + Guaifenesin","BANNED_FDC"
"Salbutamol + Thoephylline + Bromhexine","BANNED_FDC"
"Chlorpheniramine + Guaifenesin + Dextromethorphan + Phenylephrine","BANNED_FDC"
"Caffeine + Paracetamol + Chlorpheniramine","BANNED_FDC"
"Ammonium Chloride + Dextromethophan + Cetirizine + Menthol","BANNED_FDC"
"Dextromethorphan + Paracetamol + Cetirizine + Phenylephrine","BANNED_FDC"
"Chlorpheniramine + Terpin + Antimony Potassium Tartrate + Ammonium chloride + Sodium Citrate + Menthol","BANNED_FDC"
"Terbutaline Sulphate + Etofylline + Ambroxol","BANNED_FDC"
